Sequence	BLAST	Pfam	Prosite	KEGG Pathway	Gene Ontology	Comments
ABO13815	Inner membrane protein YfdC; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix	Formate/nitrite transporter; Inorganic H+ pyrophosphatase; Site-specific recombinase; FlhB HrpN YscU SpaS Family	NULL	NULL	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; formate transmembrane transporter activity [GO:0015499]; formate transport [GO:0015724]; transporter activity [GO:0005215]; transport [GO:0006810]; membrane [GO:0016020]; inorganic diphosphatase activity [GO:0004427]; hydrogen-translocating pyrophosphatase activity [GO:0009678]; proton transport [GO:0015992]; membrane [GO:0016020]; protein secretion [GO:0009306]; membrane [GO:0016020]	NULL
ABO13118	UPF0250 protein Avin_08440; Complete proteome; Reference proteome	Protein of unknown function (DUF493); RNA polymerase III subunit Rpc25	NULL	NULL	NULL	Pyrophosphotase involved in proton transport
ABO11383	Anthranilate 1,2-dioxygenase system ferredoxin--NAD(+) reductase component; Aromatic hydrocarbons catabolism; FAD; Flavoprotein; NAD; Oxidoreductase	Reductase C-terminal; Pyridine nucleotide-disulphide oxidoreductase	NULL	Degradation of aromatic compounds [acb01220]; Phenylalanine metabolism [acb00360]; Fatty acid degradation [acb00071]; Microbial metabolism in diverse environments [acb01120]	ferredoxin-NAD+ reductase activity [GO:0008860]; flavin adenine dinucleotide binding [GO:0050660]; aromatic compound catabolic process [GO:0019439]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]	Another enzyme involved in fatty acid metabolism, specifically aromatic ones
ABO11382	Putidaredoxin reductase; 3D-structure; FAD; Flavoprotein; NAD; Oxidoreductase	Pyridine nucleotide-disulphide oxidoreductase	NULL	NULL	flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity [GO:0016491]; (+)-camphor catabolic process [GO:0019383]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]	Likely metabolism protein
ABO12473	Glutamate synthase large subunit-like protein YerD; Cell membrane; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix	Conserved region in glutamate synthase; FMN-dependent dehydrogenase; Glutamate synthase central domain; YecM protein; Nitronate monooxygenase; Muscular LMNA-interacting protein	NULL	NULL	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; glutamate synthase activity [GO:0015930]; ammonia assimilation cycle [GO:0019676]; glutamate biosynthetic process [GO:0006537]; glutamate synthase activity [GO:0015930]; oxidoreductase activity, acting on the CH-NH2 group of donors [GO:0016638]; glutamate biosynthetic process [GO:0006537]; oxidation-reduction process [GO:0055114]; oxidoreductase activity [GO:0016491]; glutamate synthase activity [GO:0015930]; nitrogen compound metabolic process [GO:0006807]; oxidation-reduction process [GO:0055114]; nitronate monooxygenase activity [GO:0018580]; oxidation-reduction process [GO:0055114]	Glutamate synthesis protein
ABO13456	30S ribosomal protein S13; Ribonucleoprotein; Ribosomal protein; RNA-binding; rRNA-binding; tRNA-binding	Ribosomal protein S13/S18; Fingers domain of DNA polymerase lambda; Helix-hairpin-helix domain; Fibronectin-binding protein A N-terminus (FbpA); Uncharacterised protein family (UPF0242); Formamidopyrimidine-DNA glycosylase H2TH domain	Ribosomal protein S13 signature; Ribosomal protein S13 family profile	Ribosome [acb03010]	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; intracellular [GO:0005622]; ribosome [GO:0005840]; DNA binding [GO:0003677]; DNA polymerase activity [GO:0034061]; nucleus [GO:0005634]; damaged DNA binding [GO:0003684]; DNA-(apurinic or apyrimidinic site) lyase activity [GO:0003906]; zinc ion binding [GO:0008270]; hydrolase activity, hydrolyzing N-glycosyl compounds [GO:0016799]; nucleotide-excision repair [GO:0006289]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; ribosome [GO:0005840]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; intracellular [GO:0005622]; ribosome [GO:0005840]	Very likely ribosomal protein
ABO12471	Glutamate synthase large subunit-like protein YerD; Cell membrane; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix	Conserved region in glutamate synthase	NULL	NULL	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; glutamate synthase activity [GO:0015930]; ammonia assimilation cycle [GO:0019676]; glutamate biosynthetic process [GO:0006537]; glutamate synthase activity [GO:0015930]; oxidoreductase activity, acting on the CH-NH2 group of donors [GO:0016638]; glutamate biosynthetic process [GO:0006537]; oxidation-reduction process [GO:0055114]	Part of glutamate biosynthesis process
ABO13459	50S ribosomal protein L15; Ribonucleoprotein; Ribosomal protein; RNA-binding; rRNA-binding	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A	Ribosomal protein L15 signature	Ribosome [acb03010]	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; intracellular [GO:0005622]; ribosome [GO:0005840]	Very likely ribsomal protein
ABO13828	2,5-diketo-D-gluconic acid reductase B; Ascorbate biosynthesis; Complete proteome; Cytoplasm; NADP; Oxidoreductase	Aldo/keto reductase family; Protein of unknown function (DUF2996); Domain of unknown function (DUF3368); Anti-repressor SinI; Protein of unknown function (DUF2621)	Aldo/keto reductase family signature 2; Aldo/keto reductase family signature 1	NULL	cytoplasm [GO:0005737]; oxidoreductase activity [GO:0016491]; L-ascorbic acid biosynthetic process [GO:0019853]; protein dimerization activity [GO:0046983]; regulation of transcription, DNA-templated [GO:0006355]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]	Ascorbic acid biosynthesis protein
ABO13829	Inner membrane transport protein YdhP; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix; Transport	Major Facilitator Superfamily; Uncharacterised MFS-type transporter YbfB; Aluminium activated malate transporter	'Homeobox' domain signature; Major facilitator superfamily (MFS) profile	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]; malate transport [GO:0015743]; sequence-specific DNA binding [GO:0043565]; regulation of transcription, DNA-templated [GO:0006355]	Major facilitator sugar-transported family, specifically malate
ABO13822	L-Ala--D-Glu endopeptidase; Cell cycle; Cell wall biogenesis/degradation; Complete proteome; Differentiation; Hydrolase; Metal-binding; Metalloprotease; Protease; Reference proteome; Signal; Sporulation; Zinc	Peptidase family M23	NULL	NULL	metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; cell cycle [GO:0007049]; cell wall organization [GO:0071555]; sporulation resulting in formation of a cellular spore [GO:0030435]	Peptidase that may be involved in cell wall changes that occur during sporulation, heat resistance
ABO13823		Toxin-coregulated pilus protein S; Spore coat protein CotO	NULL	NULL	NULL	TCP protein virulence factor in Vibrio Cholerae, no good BLAST hit, increased expression has been associated with increased attachment (pfam)
ABO13840	Putative pyrimidine permease RutG; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Reference proteome; Symport; Transmembrane; Transmembrane helix; Transport	Permease family; Photosystem I reaction centre subunit XI	NULL	NULL	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; pyrimidine nucleotide transmembrane transporter activity [GO:0015218]; symporter activity [GO:0015293]; uracil transmembrane transporter activity [GO:0015210]; uracil catabolic process [GO:0006212]; uracil transport [GO:0015857]; transporter activity [GO:0005215]; transport [GO:0006810]; transmembrane transport [GO:0055085]; membrane [GO:0016020]; photosynthesis [GO:0015979]; photosystem I [GO:0009522]; photosystem I reaction center [GO:0009538]	Import and/or catabolism of pyrimidines, possibly uracil 
ABO12451		NULL	NULL	NULL	NULL	No hits
ABO12452		NULL	NULL	NULL	NULL	No hits
ABO12453	Lipoprotein LpqB; Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal	NULL	NULL	NULL	plasma membrane [GO:0005886]	Partially restores antibiotic resistance to M.smegmatis in which this gene has been disrupted (Uniprot)
ABO13468	50S ribosomal protein L14; Ribonucleoprotein; Ribosomal protein; RNA-binding; rRNA-binding	Ribosomal protein L14p/L23e; PAS fold	Ribosomal protein L14 signature	Ribosome [acb03010]	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; ribosome [GO:0005840]; protein binding [GO:0005515]	Likely ribsomal protein
ABO13469	30S ribosomal protein S17; Complete proteome; Ribonucleoprotein; Ribosomal protein; RNA-binding; rRNA-binding	Ribosomal protein S17	Ribosomal protein S17 signature	Ribosome [acb03010]	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; intracellular [GO:0005622]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; intracellular [GO:0005622]; ribosome [GO:0005840]	Likely ribsomal protein
ABO13460	50S ribosomal protein L30; Ribonucleoprotein; Ribosomal protein	Ribosomal protein L30p/L7e	NULL	Ribosome [acb03010]	large ribosomal subunit [GO:0015934]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Likely ribsomal protein
ABO13501	ATP-dependent RNA helicase DeaD; ATP-binding; Cytoplasm; Helicase; Hydrolase; Nucleotide-binding; RNA-binding; Stress response	DEAD/DEAH box helicase; Helicase conserved C-terminal domain; Type III restriction enzyme, res subunit; U3-containing 90S pre-ribosomal complex subunit; AAA domain; AAA domain	DEAD-box subfamily ATP-dependent helicases signature; Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile; Superfamilies 1 and 2 helicase C-terminal domain profile; DEAD-box RNA helicase Q motif profile	NULL	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; RNA binding [GO:0003723]; cellular response to cold [GO:0070417]; ribosomal large subunit assembly [GO:0000027]; nucleic acid binding [GO:0003676]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	Involved in various cellular responses at cold temps
ABO13502	Inositol-1-monophosphatase; Complete proteome; Hydrolase; Magnesium; Metal-binding; Reference proteome	Inositol monophosphatase family	Inositol monophosphatase family signature 1; Inositol monophosphatase family signature 2	Streptomycin biosynthesis [acb00521]; Metabolic pathways [acb01100]; Inositol phosphate metabolism [acb00562]	inositol monophosphate 1-phosphatase activity [GO:0008934]; inositol monophosphate 3-phosphatase activity [GO:0052832]; inositol monophosphate 4-phosphatase activity [GO:0052833]; metal ion binding [GO:0046872]; inositol metabolic process [GO:0006020]; inositol phosphate dephosphorylation [GO:0046855]; phosphatidylinositol phosphorylation [GO:0046854]; signal transduction [GO:0007165]; phosphatidylinositol phosphorylation [GO:0046854]; phosphatidylinositol phosphorylation [GO:0046854]	Very likely involved in inisotol phophorylation, inisotol is important compound in signaling pathways
ABO13839	Putative pyrimidine permease RutG; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Reference proteome; Symport; Transmembrane; Transmembrane helix; Transport	Permease family; Protein of unknown function (DUF3094)	NULL	NULL	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; pyrimidine nucleotide transmembrane transporter activity [GO:0015218]; symporter activity [GO:0015293]; uracil transmembrane transporter activity [GO:0015210]; uracil catabolic process [GO:0006212]; uracil transport [GO:0015857]; transporter activity [GO:0005215]; transport [GO:0006810]; transmembrane transport [GO:0055085]; membrane [GO:0016020]	Uracil catabolism, pyramidine transport and catabolism
ABO13838	Phosphoenolpyruvate carboxylase; Carbon dioxide fixation; Lyase; Magnesium	Phosphoenolpyruvate carboxylase; Phosphoenolpyruvate carboxylase; Seryl-tRNA synthetase N-terminal domain	Phosphoenolpyruvate carboxylase active site 2; Phosphoenolpyruvate carboxylase active site 1	Methane metabolism [acb00680]; Metabolic pathways [acb01100]; Carbon metabolism [acb01200]; Pyruvate metabolism [acb00620]; Microbial metabolism in diverse environments [acb01120]	phosphoenolpyruvate carboxylase activity [GO:0008964]; carbon fixation [GO:0015977]; tricarboxylic acid cycle [GO:0006099]; phosphoenolpyruvate carboxylase activity [GO:0008964]; tricarboxylic acid cycle [GO:0006099]; carbon fixation [GO:0015977]; phosphoenolpyruvate carboxylase activity [GO:0008964]; tricarboxylic acid cycle [GO:0006099]; carbon fixation [GO:0015977]	Microbial metabolism in carbon fixation, regulate TCA
ABO13835	Protein HelA; Cell inner membrane; Cell membrane; Membrane; Transmembrane; Transmembrane helix; Transport	AcrB/AcrD/AcrF family	NULL	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cation transmembrane transporter activity [GO:0008324]; transporter activity [GO:0005215]; transport [GO:0006810]; membrane [GO:0016020]	"AcrB is a major multidrug exporter in E.Coli." The Pfam hits show that this transmembrane related protein could have some sort of relevance in transporting or pumping drugs out of the bacterium. (VERY INTERESTING PROTEIN, MUST LOOK) Similar to p-glycoprotein which is known to be related to multidrug resistance.
ABO13834	Nodulation protein NolG; Complete proteome; Nodulation; Plasmid; Reference proteome; Signal	AcrB/AcrD/AcrF family; MMPL family	NULL	NULL	membrane [GO:0016020]; transporter activity [GO:0005215]; nodulation [GO:0009877]; transporter activity [GO:0005215]; transport [GO:0006810]; membrane [GO:0016020]; membrane [GO:0016020]	In Salmonella enterica, AcrD contributes to copper and zinc resistance. AcrB, AcrD, and AcrF expression have links to multiple antibiotic resistance phenotype in different types of bacteria.
ABO11756	Hydrogen cyanide synthase subunit HcnB; Cell membrane; Membrane; Oxidoreductase	Pyridine nucleotide-disulphide oxidoreductase	NULL	NULL	plasma membrane [GO:0005886]; glycine dehydrogenase (cyanide-forming) activity [GO:0050622]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]	oxidation-reduction processes are important in the electron transport chain to ultimately create ATP for the host. Doesn't really have much to do with antibiotic resistance.
ABO11757	Hydrogen cyanide synthase subunit HcnB; Cell membrane; Complete proteome; Membrane; Oxidoreductase; Reference proteome	Pyridine nucleotide-disulphide oxidoreductase; Glucose inhibited division protein A; BFD-like [2Fe-2S] binding domain; Ciliary BBSome complex subunit 2, C-terminal	NULL	NULL	plasma membrane [GO:0005886]; glycine dehydrogenase (cyanide-forming) activity [GO:0050622]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]; flavin adenine dinucleotide binding [GO:0050660]; tRNA processing [GO:0008033]	Involved in oxidoreductase activity and a small part of translation "tRNA processing"
ABO12440	Probable 3-phenylpropionic acid transporter; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Reference proteome; Symport; Transmembrane; Transmembrane helix; Transport	MFS_1 like family; Major Facilitator Superfamily; MFS/sugar transport protein	Major facilitator superfamily (MFS) profile	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; symporter activity [GO:0015293]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]	MFS profiles have often been liked to multidrug resistance/antibioitc resistance, and is also a transporter on the cell/plasma membrane. Could be a transporter or an efflux pump that pushes out needed antibiotics.
ABO13479	Putative glutamine amidotransferase-like protein YfeJ; Complete proteome; Glutamine amidotransferase; Reference proteome; Transferase	Glutamine amidotransferase class-I; CobB/CobQ-like glutamine amidotransferase domain; Peptidase C26; Amdovirus non-structural protein	Glutamine amidotransferase type 1 domain profile	NULL	transferase activity [GO:0016740]; glutamine metabolic process [GO:0006541]; catalytic activity [GO:0003824]; cobalamin biosynthetic process [GO:0009236]; hydrolase activity [GO:0016787]; glutamine metabolic process [GO:0006541]	Is part of glutamine transferase activity which is needed in different metabolic processes
ABO13478	30S ribosomal protein S10; Ribonucleoprotein; Ribosomal protein	Ribosomal protein S10p/S20e	Ribosomal protein S10 signature	Ribosome [acb03010]	ribosome [GO:0005840]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; intracellular [GO:0005622]; ribosome [GO:0005840]	Necessary for RNA transcription part of the subunits. 
ABO13475	50S ribosomal protein L23; Ribonucleoprotein; Ribosomal protein; RNA-binding; rRNA-binding	Ribosomal protein L23; RSD-2 N-terminal domain	NULL	Ribosome [acb03010]	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; ribosome [GO:0005840]	Also part of RNA transcription sigma factors
ABO13476	50S ribosomal protein L4; Ribonucleoprotein; Ribosomal protein; RNA-binding; rRNA-binding	Ribosomal protein L4/L1 family	NULL	Ribosome [acb03010]	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; ribosome [GO:0005840]	Small subunits responsible for RNA transcription part of structure for ribosomal structure
ABO13470	50S ribosomal protein L29; Ribonucleoprotein; Ribosomal protein	Ribosomal L29 protein; Methyl-viologen-reducing hydrogenase, delta subunit	NULL	Ribosome [acb03010]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; intracellular [GO:0005622]; ribosome [GO:0005840]; methanogenesis [GO:0015948]; oxidation-reduction process [GO:0055114]	part of methanogenesis, ribosomal subunit -- part of transcription
ABO12815	HTH-type transcriptional repressor DhaR; DNA-binding; Repressor; Transcription; Transcription regulation	Bacterial regulatory proteins, tetR family; Helix-turn-helix domain of resolvase	TetR-type HTH domain profile	NULL	DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]; DNA binding [GO:0003677]; recombinase activity [GO:0000150]; DNA binding [GO:0003677]; DNA recombination [GO:0006310]; DNA binding [GO:0003677]	Transcriptional repressor part of recombination activity
ABO13849	Protein GstA; Transferase	Glutathione S-transferase, N-terminal domain; Glutathione S-transferase, N-terminal domain; Glutathione S-transferase, C-terminal domain; Glutathione S-transferase, N-terminal domain; Glutathione S-transferase, C-terminal domain; Glutathione S-transferase, C-terminal domain; Glutathione S-transferase, C-terminal domain; Glutathione S-transferase N-terminal domain; Outer mitochondrial membrane transport complex protein; Serendipity locus alpha protein (SRY-A)	Soluble glutathione S-transferase N-terminal domain profile; Soluble glutathione S-transferase C-terminal domain profile	Glutathione metabolism [acb00480]	transferase activity [GO:0016740]; protein binding [GO:0005515]; protein binding [GO:0005515]; protein binding [GO:0005515]; protein targeting to mitochondrion [GO:0006626]; mitochondrial outer membrane [GO:0005741]; cellularization [GO:0007349]; cytoplasm [GO:0005737]; membrane [GO:0016020]; protein binding [GO:0005515]	Part of mitochondrial structure
ABO12472	Glutamate synthase large subunit-like protein YerD; Cell membrane; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix	Conserved region in glutamate synthase	NULL	NULL	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; glutamate synthase activity [GO:0015930]; ammonia assimilation cycle [GO:0019676]; glutamate biosynthetic process [GO:0006537]; glutamate synthase activity [GO:0015930]; oxidoreductase activity, acting on the CH-NH2 group of donors [GO:0016638]; glutamate biosynthetic process [GO:0006537]; oxidation-reduction process [GO:0055114]	Creation of glutamate metabolism along with oxidoreductase activity.
ABO11740	L-alanyl-D-glutamate peptidase; 3D-structure; Cell wall biogenesis/degradation; Hydrolase; Secreted	D-alanyl-D-alanine carboxypeptidase; D-alanyl-D-alanine carboxypeptidase; Peptidase M15; Bacterial protein of unknown function (DUF882); Serine hydrolase	NULL	NULL	extracellular region [GO:0005576]; hydrolase activity [GO:0016787]; cell wall organization [GO:0071555]; peptidase activity [GO:0008233]; proteolysis [GO:0006508]; hydrolase activity [GO:0016787]	Part of hydrolasing protein activity.
ABO11742	Putative ankyrin-containing lipoprotein Lxx09580; ANK repeat; Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Reference proteome; Repeat; Signal	Ankyrin repeats (3 copies); Ankyrin repeats (many copies); Ankyrin repeats (many copies); Ankyrin repeat; Ankyrin repeat	Ankyrin repeat profile; Ankyrin repeat region circular profile	NULL	plasma membrane [GO:0005886]; protein binding [GO:0005515]; protein binding [GO:0005515]; protein binding [GO:0005515]	Ankyrin repreat lipoprotein, not much significance in reference to antibiotic resistance
